project,benchmark,params,warmupTime,measurementTime,warmupIterations,measurementIterations,forks,warmupTimeSec,measurementTimeSec,warmupIterationsTime,measurementIterationsTime,forkTime,time
prestodb/presto,com.facebook.presto.operator.BenchmarkUnnestOperator.unnest,nestedType=array(bigint)|array(bigint)&positionsPerPage=1000&primitiveNullsRatio=0.2&replicateType=bigint&rowNullsRatio=0.0&withOrdinality=false,1000 ms,1000 ms,8,8,3,1.0,1.0,8.0,8.0,16.0,48.0
prestodb/presto,com.facebook.presto.geospatial.serde.BenchmarkJtsGeometrySerde.serializeSimpleMultiLineString,,3 s,4 s,3,5,2,3.0,4.0,9.0,20.0,29.0,58.0
prestodb/presto,com.facebook.presto.BenchmarkBoxedBoolean.primitive,,1 s,1 s,10,10,3,1.0,1.0,10.0,10.0,20.0,60.0
prestodb/presto,com.facebook.presto.sql.gen.InCodeGeneratorBenchmark.benchmark,inListCount=25&type=double,500 ms,500 ms,10,10,10,0.5,0.5,5.0,5.0,10.0,100.0
prestodb/presto,com.facebook.presto.operator.BenchmarkGroupByHash.addPagePreCompute,channelCount=5&dataType=BIGINT&groupByType=notDistinct&groupCount=3000000&hashEnabled=false,500 ms,500 ms,10,10,2,0.5,0.5,5.0,5.0,10.0,20.0
prestodb/presto,com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithoutFlatten,blockSize=1000000&nestedLevel=5&numberOfIterations=1000,500 ms,500 ms,10,10,3,0.5,0.5,5.0,5.0,10.0,30.0
prestodb/presto,com.facebook.presto.operator.repartition.BenchmarkPartitionedOutputOperator.optimizedAddPage,channelCount=1&enableCompression=true&hasNull=true&type=LONG_DECIMAL,500 ms,500 ms,10,10,3,0.5,0.5,5.0,5.0,10.0,30.0
prestodb/presto,com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithoutFlatten,blockSize=1000000&nestedLevel=2&numberOfIterations=1000,500 ms,500 ms,10,10,3,0.5,0.5,5.0,5.0,10.0,30.0
prestodb/presto,com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithFlatten,blockSize=100000&nestedLevel=2&numberOfIterations=1&reuseArrays=true,500 ms,500 ms,10,10,3,0.5,0.5,5.0,5.0,10.0,30.0
prestodb/presto,com.facebook.presto.operator.scalar.StringFunctionsBenchmark.benchmarkSubstringStartLengthFromEnd,ascii=false&length=10,500 ms,500 ms,4,5,1,0.5,0.5,2.0,2.5,4.5,4.5
prometheus/client_java,io.prometheus.benchmark.SummaryBenchmark.codahaleHistogramBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsSetBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildDecBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.CounterBenchmark.prometheusCounterChildIncBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterIncBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramNoLabelsBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryNoLabelsBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryChildBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeIncBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryChildBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.GaugeBenchmark.codahaleCounterDecBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildSetBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterChildIncBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
prometheus/client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildIncBenchmark,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
protostuff/protostuff,io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,stringLength=100000,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
