benchmark,fork,classification,steady_state_starts,technique,last_warmup_it,last_measure_it,timewaste,interval
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=1,1,steady state,0,Dev,494,544,50.2159863045868,"(0.995440136413112, 1.0063721447613707)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=1,2,steady state,2206,Dev,494,544,-173.9931574877096,"(1.0033590083625246, 1.009508353891657)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=1,3,steady state,0,Dev,494,544,50.23460857018188,"(1.0117674927190294, 1.0200315778593687)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=1,4,steady state,0,Dev,494,544,50.16379332289483,"(0.9789883615371393, 0.9821726644148324)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=1,5,steady state,0,Dev,494,544,50.18272527427565,"(1.0102163134541016, 1.0208894448444297)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=1,6,steady state,0,Dev,494,544,50.17940022778499,"(0.9942076248899097, 1.0907323834294966)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=1,7,steady state,0,Dev,494,544,50.192993283878806,"(0.9977985298154538, 1.0074199688082943)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=1,8,steady state,0,Dev,494,544,50.19310243920373,"(0.982999999642955, 0.9931572943372462)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=1,9,steady state,0,Dev,494,544,50.09729255175755,"(0.9922060405884389, 0.9981495365036893)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.StrictPerf.internal#count=1&cpu=100,0,steady state,31,Dev,499,549,46.80008574217703,"(0.9412974978121358, 0.9857335355325155)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.StrictPerf.internal#count=1&cpu=100,1,steady state,27,Dev,499,549,47.200102268327505,"(0.9185286959519506, 0.9849047091283539)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.StrictPerf.internal#count=1&cpu=100,2,steady state,1623,Dev,499,549,-112.40020287162073,"(1.0186156708160092, 1.0464849435151153)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.StrictPerf.internal#count=1&cpu=100,3,steady state,340,Dev,499,549,15.90002814144966,"(0.9588911799972553, 0.9972630258141768)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.StrictPerf.internal#count=1&cpu=100,4,steady state,0,Dev,499,549,49.90009057137435,"(0.9607951467545689, 2.1253313861086105)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.StrictPerf.internal#count=1&cpu=100,5,steady state,32,Dev,499,549,46.70008388491458,"(0.9529515986187871, 0.9949961695739504)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.StrictPerf.internal#count=1&cpu=100,6,steady state,24,Dev,499,549,47.50008871905736,"(0.9893230828083376, 1.0627734620174971)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.StrictPerf.internal#count=1&cpu=100,7,steady state,92,Dev,499,549,40.70007421095703,"(0.9920994655727295, 1.0298789292655297)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.StrictPerf.internal#count=1&cpu=100,8,steady state,876,Dev,499,549,-37.7000698085654,"(0.949036938904585, 1.0081366017978155)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.StrictPerf.internal#count=1&cpu=100,9,steady state,27,Dev,499,549,47.20008663765413,"(0.96793824562943, 1.0212208266494154)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10,0,steady state,134,Dev,499,549,36.50007293933518,"(1.0083709910456735, 1.1536230510906176)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10,1,steady state,147,Dev,499,549,35.20007289318846,"(0.8899571771576478, 0.9473173693304604)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10,2,steady state,1367,Dev,499,549,-86.80015427084298,"(0.975659204585497, 1.0372528183590464)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10,3,no steady state,2644,Dev,499,549,-214.5003469874242,"(0.8125332345636912, 0.8800044953825044)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10,4,steady state,2225,Dev,499,549,-172.600293669892,"(1.001584037654245, 1.070654134469724)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10,5,steady state,192,Dev,499,549,30.700052034000777,"(0.87870691854887, 0.9555286821559759)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10,6,steady state,1437,Dev,499,549,-93.80015073150506,"(0.9635971810037712, 1.0323618347835428)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10,7,steady state,1945,Dev,499,549,-144.60024802495604,"(0.9856287813310252, 1.0675397910756899)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10,8,no steady state,2752,Dev,499,549,-225.30036451466646,"(0.8380131866992863, 0.9483124509275189)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10,9,steady state,349,Dev,499,549,15.000022385338156,"(0.9039757117068, 0.9711299188925686)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0#times=100000,0,steady state,1427,Dev,446,491,-111.40151159466646,"(0.9826057434713404, 1.0341926428625128)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0#times=100000,1,steady state,1457,Dev,444,489,-115.31518498133465,"(0.9823301833682494, 0.9888799466307585)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0#times=100000,2,steady state,1719,Dev,445,491,-143.34320913066725,"(1.0740188987392427, 1.1728464983372293)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0#times=100000,3,steady state,1708,Dev,443,488,-143.77325472426782,"(0.9876788574230484, 0.9949257870156359)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0#times=100000,4,steady state,343,Dev,442,488,11.13643417600003,"(0.9803796978950795, 0.9883223667704484)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0#times=100000,5,steady state,2396,Dev,448,493,-221.17470699520058,"(0.9873798018736932, 1.0442591078726235)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0#times=100000,6,steady state,285,Dev,447,492,18.401460223999944,"(1.004116193751744, 1.0507704412868129)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0#times=100000,7,no steady state,2929,Dev,447,492,-282.15929733120225,"(1.0065392083155937, 1.0433927992222254)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0#times=100000,8,steady state,296,Dev,442,487,16.43544576000005,"(1.018432207610756, 1.0749240149215202)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0#times=100000,9,steady state,208,Dev,442,487,26.361774079999908,"(0.9779802178232092, 1.016407455662867)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterableAsObs1#times=10000,0,steady state,312,Dev,498,548,18.76842682971615,"(0.9940808444453105, 1.043112753273162)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterableAsObs1#times=10000,1,no steady state,2815,Dev,498,548,-233.1248496153055,"(0.9924855050522671, 1.038728345181609)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterableAsObs1#times=10000,2,steady state,417,Dev,498,548,8.150434800716425,"(0.9751898126435203, 0.9851843634058345)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterableAsObs1#times=10000,3,steady state,1689,Dev,498,548,-119.79053241287988,"(0.98417376898928, 0.9915021487731482)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterableAsObs1#times=10000,4,steady state,329,Dev,498,548,17.039071027199974,"(1.0314977161362768, 1.151164444017435)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterableAsObs1#times=10000,5,steady state,165,Dev,496,546,33.425877803243715,"(0.9758384407091498, 0.981662225389)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterableAsObs1#times=10000,6,steady state,0,Dev,497,547,50.1831546658605,"(0.9577409850923285, 0.9660956899454349)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterableAsObs1#times=10000,7,no steady state,2778,Dev,499,549,-229.34196161053075,"(1.0162633934135008, 1.1054173085368195)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterableAsObs1#times=10000,8,no steady state,2971,Dev,496,546,-249.3066402003451,"(0.9202905590439943, 1.0215005858824056)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterableAsObs1#times=10000,9,steady state,951,Dev,498,548,-45.53133911433855,"(1.0001851157841797, 1.04389393798001)"
ReactiveX__RxJava#io.reactivex.rxjava3.parallel.ParallelPerf.groupBy#compute=100&count=10000&parallelism=3,0,steady state,2090,Dev,448,497,-191.8907404288002,"(0.9561688689665314, 1.0293748689921756)"
ReactiveX__RxJava#io.reactivex.rxjava3.parallel.ParallelPerf.groupBy#compute=100&count=10000&parallelism=3,1,steady state,2233,Dev,444,489,-207.74274562925737,"(0.92609653276286, 1.018769798149188)"
ReactiveX__RxJava#io.reactivex.rxjava3.parallel.ParallelPerf.groupBy#compute=100&count=10000&parallelism=3,2,steady state,2246,Dev,450,495,-210.57678021973385,"(0.9375475483340163, 1.012203344623963)"
ReactiveX__RxJava#io.reactivex.rxjava3.parallel.ParallelPerf.groupBy#compute=100&count=10000&parallelism=3,3,steady state,41,Dev,450,497,45.938152452876196,"(0.8335355991786608, 0.9170639481525585)"
ReactiveX__RxJava#io.reactivex.rxjava3.parallel.ParallelPerf.groupBy#compute=100&count=10000&parallelism=3,4,no steady state,2883,Dev,450,497,-280.5592612473892,"(0.8530778061037133, 0.9208986028582913)"
ReactiveX__RxJava#io.reactivex.rxjava3.parallel.ParallelPerf.groupBy#compute=100&count=10000&parallelism=3,5,steady state,0,Dev,449,493,50.09037801569525,"(0.9588592516965369, 1.0307204630773903)"
ReactiveX__RxJava#io.reactivex.rxjava3.parallel.ParallelPerf.groupBy#compute=100&count=10000&parallelism=3,6,steady state,2402,Dev,453,500,-218.60582684769534,"(1.0045015324233286, 1.1131164282614876)"
ReactiveX__RxJava#io.reactivex.rxjava3.parallel.ParallelPerf.groupBy#compute=100&count=10000&parallelism=3,7,steady state,1871,Dev,451,496,-163.0497634986669,"(1.0087060362572804, 1.0880827823800903)"
ReactiveX__RxJava#io.reactivex.rxjava3.parallel.ParallelPerf.groupBy#compute=100&count=10000&parallelism=3,8,no steady state,2811,Dev,445,490,-272.8089205678728,"(1.0204746466471513, 1.1020514723406432)"
ReactiveX__RxJava#io.reactivex.rxjava3.parallel.ParallelPerf.groupBy#compute=100&count=10000&parallelism=3,9,steady state,1501,Dev,448,495,-121.33281727634271,"(0.9167576348683364, 1.0145516843145452)"
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated#count=1000000,0,steady state,0,Dev,464,509,50.052595712,"(0.9844139080492429, 0.9900419844768192)"
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated#count=1000000,1,steady state,0,Dev,464,514,50.078351359999985,"(0.9971962156115773, 1.0066151013235523)"
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated#count=1000000,2,steady state,0,Dev,487,537,50.10135449599974,"(0.9973477621013, 1.001492914699226)"
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated#count=1000000,3,steady state,0,Dev,458,498,50.05554483200001,"(0.9809733619004992, 0.9869855384492752)"
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated#count=1000000,4,steady state,0,Dev,462,501,50.039422976000004,"(0.9810693815213957, 0.9882188311496529)"
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated#count=1000000,5,steady state,1,Dev,455,498,49.9855523839999,"(0.9842217993586707, 0.9912486034126012)"
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated#count=1000000,6,steady state,0,Dev,458,499,50.062426112,"(0.9808424031312059, 0.9858000224239207)"
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated#count=1000000,7,steady state,1,Dev,486,536,49.939742719999735,"(0.9978370532763754, 1.0063513055554785)"
