benchmark,technique,ci
crate__crate#io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeNestedLoopJoin#,Ci,"(0.9683269545790643, 0.9801163829857543)"
crate__crate#io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeNestedLoopJoin#,Cov,"(0.9684367583456864, 0.980267121371358)"
crate__crate#io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeNestedLoopJoin#,Divergence,"(0.974459798702789, 0.9984691972802973)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLPlusPlusMurmur128#,Dev,"(0.994050755055966, 1.0204497969824946)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLPlusPlusMurmur128#,Ci,"(1.0011588763661396, 1.02393668335148)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLPlusPlusMurmur128#,Cov,"(1.0279323229093824, 1.0822840720864033)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLPlusPlusMurmur128#,Divergence,"(0.9895283920625705, 1.0499230384692715)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLPlusPlusMurmur64#,Dev,"(1.0011483191285093, 1.030458511575943)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLPlusPlusMurmur64#,Ci,"(0.9689637041770629, 1.0218024154347651)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLPlusPlusMurmur64#,Cov,"(0.985127405748028, 1.0241182440635757)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLPlusPlusMurmur64#,Divergence,"(0.9654752656165373, 1.0189880008352201)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseAndAnalyzeSimpleSelect#,Dev,"(0.9722119472642533, 1.06100568556922)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseAndAnalyzeSimpleSelect#,Ci,"(0.971736965909243, 1.0467214756744925)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseAndAnalyzeSimpleSelect#,Cov,"(0.9702758188081909, 1.0644771964794835)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseAndAnalyzeSimpleSelect#,Divergence,"(1.0144222270946766, 1.116220181033675)"
crate__crate#io.crate.execution.engine.reader.JsonReaderBenchmark.measureFileReadingIteratorForJson#,Dev,"(0.9726373735904178, 1.0315085714064198)"
crate__crate#io.crate.execution.engine.reader.JsonReaderBenchmark.measureFileReadingIteratorForJson#,Ci,"(0.9664035495643062, 1.0284448269555189)"
crate__crate#io.crate.execution.engine.reader.JsonReaderBenchmark.measureFileReadingIteratorForJson#,Cov,"(0.9828657994298582, 1.1441019747174181)"
crate__crate#io.crate.execution.engine.reader.JsonReaderBenchmark.measureFileReadingIteratorForJson#,Divergence,"(1.0255916408569077, 1.1411777534861203)"
crate__crate#io.crate.execution.engine.distribution.merge.SortedPagingIteratorBenchmark.measurePagingIteratorWithoutRepeat#,Dev,"(0.9923666195591451, 1.003258849017935)"
crate__crate#io.crate.execution.engine.distribution.merge.SortedPagingIteratorBenchmark.measurePagingIteratorWithoutRepeat#,Ci,"(0.9909391124070948, 1.004012607153405)"
crate__crate#io.crate.execution.engine.distribution.merge.SortedPagingIteratorBenchmark.measurePagingIteratorWithoutRepeat#,Cov,"(0.9914672852681867, 1.0035199371083618)"
crate__crate#io.crate.execution.engine.distribution.merge.SortedPagingIteratorBenchmark.measurePagingIteratorWithoutRepeat#,Divergence,"(0.9901212868881283, 1.0012426235429093)"
crate__crate#io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupBySumLong#,Dev,"(0.9622605882958291, 1.018349915824281)"
crate__crate#io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupBySumLong#,Ci,"(0.9810380127808529, 1.032166416689059)"
crate__crate#io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupBySumLong#,Cov,"(0.9855320010996944, 1.0533488877447876)"
crate__crate#io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupBySumLong#,Divergence,"(0.9851147694000238, 1.035122202370501)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureAnalyzeSimpleSelect#,Dev,"(0.962431793471747, 1.0636758068550385)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureAnalyzeSimpleSelect#,Ci,"(0.9612681242230137, 1.162479054517254)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureAnalyzeSimpleSelect#,Cov,"(0.9956192529138627, 1.2264885565083818)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureAnalyzeSimpleSelect#,Divergence,"(0.9298703084052454, 1.1058293147721974)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLAggregationOffHeap#,Dev,"(0.9450090011813493, 1.0467274478882507)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLAggregationOffHeap#,Ci,"(0.9759646676295435, 1.0595891414783947)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLAggregationOffHeap#,Cov,"(0.9526295927914396, 1.0784710051106852)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLAggregationOffHeap#,Divergence,"(0.9537143851693002, 1.020134087187516)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanInsertFromValues#,Dev,"(0.9491160925445498, 0.9960559932264219)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanInsertFromValues#,Ci,"(0.9564537831609958, 1.0496259941327808)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanInsertFromValues#,Cov,"(0.9525897896837714, 0.9982254099751178)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanInsertFromValues#,Divergence,"(0.970786557145036, 1.084349229619676)"
crate__crate#io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupingOnNumericDocValues#,Dev,"(0.9906070220943414, 1.031824490378538)"
crate__crate#io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupingOnNumericDocValues#,Ci,"(0.9903420878741828, 1.025273142700198)"
crate__crate#io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupingOnNumericDocValues#,Cov,"(1.0313788873292087, 1.0861898281332232)"
crate__crate#io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupingOnNumericDocValues#,Divergence,"(0.9986874728138044, 1.0440208086587928)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseSimpleSelect#,Dev,"(0.9630149063919647, 1.0250108274033776)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseSimpleSelect#,Ci,"(0.9593640905393593, 1.0424818626627799)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseSimpleSelect#,Cov,"(0.9543963988727026, 1.0506955782948877)"
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseSimpleSelect#,Divergence,"(1.024239223505264, 1.113452448991607)"
crate__crate#io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeHashInnerJoin#,Dev,"(0.9986455869730632, 1.0210081982117039)"
crate__crate#io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeHashInnerJoin#,Ci,"(1.000925092768136, 1.044746624792646)"
crate__crate#io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeHashInnerJoin#,Cov,"(1.0087356740939324, 1.04648335741231)"
crate__crate#io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeHashInnerJoin#,Divergence,"(0.9966194649462577, 1.0427411719514343)"
crate__crate#io.crate.execution.engine.aggregation.AggregateCollectorBenchmark.measureAggregateCollector#,Dev,"(0.9492441045870164, 1.0684317257962006)"
crate__crate#io.crate.execution.engine.aggregation.AggregateCollectorBenchmark.measureAggregateCollector#,Ci,"(0.9484852494639873, 1.076328122527022)"
crate__crate#io.crate.execution.engine.aggregation.AggregateCollectorBenchmark.measureAggregateCollector#,Cov,"(0.9249328129989683, 1.064393402784418)"
crate__crate#io.crate.execution.engine.aggregation.AggregateCollectorBenchmark.measureAggregateCollector#,Divergence,"(0.9872667657004149, 1.0829315958885597)"
crate__crate#io.crate.execution.engine.collect.collectors.LuceneBatchIteratorBenchmark.measureConsumeLuceneBatchIterator#,Dev,"(0.9932145180360421, 1.0461750892292816)"
crate__crate#io.crate.execution.engine.collect.collectors.LuceneBatchIteratorBenchmark.measureConsumeLuceneBatchIterator#,Ci,"(0.9823989518892406, 1.0093706334586852)"
crate__crate#io.crate.execution.engine.collect.collectors.LuceneBatchIteratorBenchmark.measureConsumeLuceneBatchIterator#,Cov,"(0.9631906670853663, 0.9950880720298859)"
crate__crate#io.crate.execution.engine.collect.collectors.LuceneBatchIteratorBenchmark.measureConsumeLuceneBatchIterator#,Divergence,"(0.955913867215302, 0.9830856945212436)"
crate__crate#io.crate.execution.engine.distribution.merge.SortedPagingIteratorBenchmark.measurePagingIteratorWithRepeat#,Dev,"(0.9966641363719727, 1.0428066167350851)"
crate__crate#io.crate.execution.engine.distribution.merge.SortedPagingIteratorBenchmark.measurePagingIteratorWithRepeat#,Ci,"(0.9932130556061012, 1.0513476511038486)"
crate__crate#io.crate.execution.engine.distribution.merge.SortedPagingIteratorBenchmark.measurePagingIteratorWithRepeat#,Cov,"(1.0071233789411993, 1.078397859097445)"
crate__crate#io.crate.execution.engine.distribution.merge.SortedPagingIteratorBenchmark.measurePagingIteratorWithRepeat#,Divergence,"(0.9946229311320602, 1.0544183340729298)"
crate__crate#io.crate.execution.engine.reader.CsvReaderBenchmark.measureFileReadingIteratorForCSV#,Dev,"(0.977448969784599, 1.0061431957490636)"
crate__crate#io.crate.execution.engine.reader.CsvReaderBenchmark.measureFileReadingIteratorForCSV#,Ci,"(0.9775658825318944, 1.0222845721670915)"
crate__crate#io.crate.execution.engine.reader.CsvReaderBenchmark.measureFileReadingIteratorForCSV#,Cov,"(1.1303072859745535, 1.2445511712173487)"
crate__crate#io.crate.execution.engine.reader.CsvReaderBenchmark.measureFileReadingIteratorForCSV#,Divergence,"(1.0496683289068423, 1.1984709538488905)"
crate__crate#io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeSkippingBatchIterator#,Dev,"(0.9562872820023879, 0.9888654968350763)"
crate__crate#io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeSkippingBatchIterator#,Ci,"(0.9423953122069348, 0.9919245910494652)"
crate__crate#io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeSkippingBatchIterator#,Cov,"(0.9830892750495894, 1.0219088902458044)"
crate__crate#io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeSkippingBatchIterator#,Divergence,"(0.9881755434786088, 1.02499594736416)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLAggregationOnHeap#,Dev,"(0.9717083289393925, 1.006048324839404)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLAggregationOnHeap#,Ci,"(0.9764038472458354, 1.0281769698735195)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLAggregationOnHeap#,Cov,"(0.9722837787596759, 1.051068271541194)"
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLAggregationOnHeap#,Divergence,"(0.9611128105855931, 1.0078026775640034)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.smallBufferDatabind#,Dev,"(1.0105407272281326, 1.0643048197390172)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.smallBufferDatabind#,Ci,"(0.9702073315175523, 1.026121391027873)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.smallBufferDatabind#,Cov,"(1.0011953817302413, 1.071070331744148)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.smallBufferDatabind#,Divergence,"(1.0058762912532646, 1.0751635886267679)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMiss#,Dev,"(0.9885037689007984, 1.0155148881833385)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMiss#,Ci,"(0.9965366801992849, 1.02941617230271)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMiss#,Cov,"(0.978951564978165, 1.042291499860513)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMiss#,Divergence,"(0.9848732271689896, 1.0361807939937266)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersEncodeBenchmark.vertxSmall#,Dev,"(1.0109345321443548, 1.0292583090677858)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersEncodeBenchmark.vertxSmall#,Ci,"(0.9844234351193266, 1.0348132006136392)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersEncodeBenchmark.vertxSmall#,Cov,"(0.9985592686558935, 1.032079158089761)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersEncodeBenchmark.vertxSmall#,Divergence,"(0.9838784533037311, 1.0374416309921832)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonDecodeBenchmark.smallBufferJackson#,Dev,"(1.006744623128157, 1.039411296818624)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonDecodeBenchmark.smallBufferJackson#,Ci,"(0.9881975159538358, 1.040575416864326)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonDecodeBenchmark.smallBufferJackson#,Cov,"(1.0064674240683777, 1.0671439247372834)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonDecodeBenchmark.smallBufferJackson#,Divergence,"(1.051495123304011, 1.1291133265306472)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMiss#,Dev,"(0.9918196681127753, 1.0218705871213467)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMiss#,Ci,"(0.9677862521805358, 1.009201175104907)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMiss#,Cov,"(0.9629124591555314, 1.020635240814273)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMiss#,Divergence,"(0.9649505644913283, 1.0204481951648743)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferDatabind#,Dev,"(1.0090942419146707, 1.0338674902159268)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferDatabind#,Ci,"(0.9884533409420417, 1.0363719883625349)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferDatabind#,Cov,"(1.0063577877792793, 1.0430338960201098)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferDatabind#,Divergence,"(0.9997580929458445, 1.040516541806452)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersSetBenchmark.vertxSmall#,Dev,"(1.004559308263159, 1.1166756341625776)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersSetBenchmark.vertxSmall#,Ci,"(0.9604471930450718, 1.264604855788551)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersSetBenchmark.vertxSmall#,Cov,"(0.9538798918913616, 1.8432714415288338)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersSetBenchmark.vertxSmall#,Divergence,"(0.8491000678525442, 1.1252424256630595)"
eclipse-vertx__vert.x#io.vertx.benchmarks.ContextBenchmark.runOnContextNoChecks#,Dev,"(0.904182279190265, 0.9624634710027333)"
eclipse-vertx__vert.x#io.vertx.benchmarks.ContextBenchmark.runOnContextNoChecks#,Ci,"(0.9970389192844875, 1.0741630313485708)"
eclipse-vertx__vert.x#io.vertx.benchmarks.ContextBenchmark.runOnContextNoChecks#,Cov,"(0.9493792091877576, 1.09893968856522)"
eclipse-vertx__vert.x#io.vertx.benchmarks.ContextBenchmark.runOnContextNoChecks#,Divergence,"(0.9558242127839977, 1.0978355197622878)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferJackson#,Dev,"(1.0342599482167671, 1.0897724674362559)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferJackson#,Ci,"(0.9762268036799858, 1.018812127704742)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferJackson#,Cov,"(1.0228748549869002, 1.0741272843854204)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferJackson#,Divergence,"(0.9804276604215573, 1.0239710528249204)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallMatch#,Dev,"(0.9711054325704318, 1.0023870942780377)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallMatch#,Ci,"(0.9948027511831095, 1.0481925062306212)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallMatch#,Cov,"(0.9699440384847678, 1.0162278393899908)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallMatch#,Divergence,"(0.9922009880936726, 1.0313987646625762)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.deepBufferJackson#,Dev,"(1.0119944722899714, 1.0585169536631576)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.deepBufferJackson#,Ci,"(1.0044101940541603, 1.053215198916393)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.deepBufferJackson#,Cov,"(1.0397704272588753, 1.0902320226005322)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.deepBufferJackson#,Divergence,"(1.005160988696341, 1.0635165876780797)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HttpServerHandlerBenchmark.netty#,Dev,"(0.9392685322202854, 1.150900390344627)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HttpServerHandlerBenchmark.netty#,Ci,"(0.9080723238316407, 1.0003176109545948)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HttpServerHandlerBenchmark.netty#,Cov,"(0.876928389599176, 1.0090658289372516)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HttpServerHandlerBenchmark.netty#,Divergence,"(0.993382062559471, 1.1547438186392545)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersEncodeBenchmark.baseline#,Dev,"(1.031293510855704, 1.124110252850714)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersEncodeBenchmark.baseline#,Ci,"(0.9421428179096831, 1.0550401806618452)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersEncodeBenchmark.baseline#,Cov,"(0.9786807718273542, 1.1057065731810651)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersEncodeBenchmark.baseline#,Divergence,"(0.9924979156273566, 1.1117563728643372)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMatch#,Dev,"(0.9881338352566119, 1.0271483915853734)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMatch#,Ci,"(0.9667345579603058, 1.019543682010073)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMatch#,Cov,"(0.9927379006341991, 1.0376918595837463)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMatch#,Divergence,"(0.9924365448698176, 1.0334105893155243)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.smallStringDatabind#,Dev,"(0.9612786361354434, 1.0218365498096549)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.smallStringDatabind#,Ci,"(0.9615074183293348, 1.01212782863407)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.smallStringDatabind#,Cov,"(0.9613134844523095, 1.0702658689979476)"
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.smallStringDatabind#,Divergence,"(1.012871904812939, 1.1401279620299143)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HttpServerHandlerBenchmark.vertxOpt#,Dev,"(1.0140763337536798, 1.24905555707265)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HttpServerHandlerBenchmark.vertxOpt#,Ci,"(0.9774228386727382, 1.011933843419678)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HttpServerHandlerBenchmark.vertxOpt#,Cov,"(0.9846288565893881, 1.0278641842413008)"
eclipse-vertx__vert.x#io.vertx.benchmarks.HttpServerHandlerBenchmark.vertxOpt#,Divergence,"(1.023779819794396, 1.1505949720822826)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=true&loadFactor=0.50&size=750000,Dev,"(0.979324333413568, 1.057375111782668)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=true&loadFactor=0.50&size=750000,Ci,"(0.9730299172800743, 1.1306077506334706)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=true&loadFactor=0.50&size=750000,Cov,"(1.0270570497163043, 1.1784803422181918)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=true&loadFactor=0.50&size=750000,Divergence,"(1.0661106442169945, 1.2059465941142946)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ScalaAnyRefMapPutTest.scalaAnyRef#isPresized=false&loadFactor=0.75&size=5500000,Dev,"(1.0070414826967446, 1.043004359721798)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ScalaAnyRefMapPutTest.scalaAnyRef#isPresized=false&loadFactor=0.75&size=5500000,Ci,"(1.0044188245388497, 1.0420350743914817)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ScalaAnyRefMapPutTest.scalaAnyRef#isPresized=false&loadFactor=0.75&size=5500000,Cov,"(1.0553987493433337, 1.118730236625088)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ScalaAnyRefMapPutTest.scalaAnyRef#isPresized=false&loadFactor=0.75&size=5500000,Divergence,"(1.0187105788168718, 1.0709179624442597)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=false&loadFactor=0.45&size=1000000,Dev,"(0.9976709583746912, 1.0166208519360882)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=false&loadFactor=0.45&size=1000000,Ci,"(1.0035062768986938, 1.0247340441610866)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=false&loadFactor=0.45&size=1000000,Cov,"(1.0610508981203313, 1.1057039861964864)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=false&loadFactor=0.45&size=1000000,Divergence,"(1.0316091430802803, 1.0492113574306066)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.MinTest.serial_lazy_streams_ec#,Dev,"(0.9889772310571284, 1.019326207094937)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.MinTest.serial_lazy_streams_ec#,Ci,"(0.8305914376762144, 0.8384913613904479)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.MinTest.serial_lazy_streams_ec#,Cov,"(0.7862261908465489, 0.8221557979142173)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.MinTest.serial_lazy_streams_ec#,Divergence,"(0.7546256069673606, 0.8190297689180103)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_eager_ec#,Dev,"(0.9611017861485989, 0.9925430996167215)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_eager_ec#,Ci,"(0.932538360299571, 0.9709926497044525)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_eager_ec#,Cov,"(0.9207946542132356, 0.9949633663611848)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_eager_ec#,Divergence,"(0.9118058945496709, 0.9623399940351316)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=false&loadFactor=0.55&size=8750000,Dev,"(0.9761964171437756, 1.0205188340768878)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=false&loadFactor=0.55&size=8750000,Ci,"(0.9612893595043127, 1.0100625096124067)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=false&loadFactor=0.55&size=8750000,Cov,"(0.9629193907479305, 1.0526874059774285)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=false&loadFactor=0.55&size=8750000,Divergence,"(0.9672038657577153, 1.0595806469304099)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.JdkMutableMapGetTest.get#size=7750000,Dev,"(0.8656440689254502, 0.8989157464227726)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.JdkMutableMapGetTest.get#size=7750000,Ci,"(0.8631883206125249, 0.8947177032572668)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.JdkMutableMapGetTest.get#size=7750000,Cov,"(0.903516306655729, 0.9505927528247083)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.JdkMutableMapGetTest.get#size=7750000,Divergence,"(0.8666186353681691, 0.9074754469850269)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=true&loadFactor=0.55&size=2500000,Dev,"(1.0190295549001178, 1.0428970013979584)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=true&loadFactor=0.55&size=2500000,Ci,"(0.9951196645589713, 1.0404393656592443)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=true&loadFactor=0.55&size=2500000,Cov,"(0.9656801935207385, 1.000265990053098)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=true&loadFactor=0.55&size=2500000,Divergence,"(0.9923410716997165, 1.052101889150721)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ScalaAnyRefMapPutTest.scalaAnyRef#isPresized=false&loadFactor=0.75&size=4500000,Dev,"(1.0053064317404603, 1.0289607335358477)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ScalaAnyRefMapPutTest.scalaAnyRef#isPresized=false&loadFactor=0.75&size=4500000,Ci,"(0.9916167337829489, 1.0272610632331791)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ScalaAnyRefMapPutTest.scalaAnyRef#isPresized=false&loadFactor=0.75&size=4500000,Cov,"(1.0770738732120877, 1.1636584622663115)"
